,grpid
0,4_0
1,4_0
2,4_0
3,4_0
4,4_0
5,0_1
6,0_1
7,0_1
8,0_1
9,0_1
10,0_5
11,0_5
12,0_5
13,0_5
14,0_5
15,0_2
16,0_2
17,0_2
18,0_2
19,0_2
20,1_3
21,1_3
22,1_3
23,1_3
24,1_3
25,0_1
26,0_1
27,0_1
28,0_1
29,0_1
30,0_3
31,0_3
32,0_3
33,0_3
34,0_3
35,0_0
36,0_0
37,0_0
38,0_0
39,0_0
40,0_1
41,0_1
42,0_1
43,0_1
44,0_1
45,2_1
46,2_1
47,2_1
48,2_1
49,2_1
50,3_2
51,3_3
52,3_3
53,3_2
54,3_2
55,5_0
56,5_0
57,5_0
58,5_0
59,5_0
60,1_0
61,1_0
62,1_0
63,1_0
64,1_0
65,2_3
66,2_3
67,2_3
68,2_3
69,2_3
70,4_4
71,4_4
72,4_4
73,4_4
74,4_4
75,2_7
76,2_7
77,2_7
78,2_7
79,2_6
80,0_1
81,0_1
82,0_1
83,0_1
84,0_1
85,3_6
86,3_6
87,3_6
88,3_6
89,3_6
90,5_1
91,5_1
92,5_1
93,5_1
94,5_1
95,3_7
96,3_7
97,3_7
98,3_7
99,3_7
100,3_1
101,3_1
102,3_1
103,3_1
104,3_1
105,5_6
106,5_6
107,5_6
108,5_6
109,5_6
110,0_1
111,0_1
112,0_1
113,0_1
114,0_1
115,2_4
116,2_4
117,2_4
118,2_4
119,2_4
120,4_2
121,4_2
122,4_2
123,4_2
124,4_2
125,0_1
126,0_1
127,0_1
128,0_1
129,0_1
130,3_0
131,3_0
132,3_0
133,3_0
134,3_0
135,4_7
136,4_7
137,4_7
138,4_7
139,4_7
140,1_3
141,1_3
142,1_3
143,1_3
144,1_3
145,2_3
146,2_3
147,2_3
148,2_3
149,2_3
150,2_5
151,2_5
152,2_5
153,2_5
154,2_5
155,1_5
156,1_5
157,1_5
158,1_5
159,1_5
160,3_2
161,3_2
162,3_2
163,3_2
164,3_2
165,3_3
166,3_3
167,3_3
168,3_3
169,3_3
170,1_1
171,1_1
172,1_1
173,1_1
174,1_1
175,3_7
176,3_7
177,3_7
178,3_7
179,3_7
180,4_0
181,4_0
182,4_0
183,4_0
184,4_0
185,3_6
