group_age,group_income,prob_stock,lequity,deqshare,prob_oassets,loassets,disttaxshare,s_equity,s_oassets
0,0,.10300115,7.7987227,.45447272,.94044638,6.6400981,.96579933,2.6671941,2.377912
0,1,.20563118,7.3863335,.063267209,.98775154,7.1275053,.9461112,2.0645545,2.0627515
0,2,.40922534,8.0868855,.13365057,.97175121,8.164238,.92152625,1.7652421,1.8513832
0,3,.5145539,8.57864,.11235327,1,8.9257412,.94795036,1.6480682,1.4870414
0,4,.82361978,9.1415672,.16471405,1,9.6278038,.91882926,1.7012825,1.2332349
0,5,.77752483,9.653677,.24090822,1,9.8520298,.84166086,1.7029569,1.3695514
0,6,.89164644,10.869197,.17250772,1,10.975076,.92625058,1.4015526,1.2230859
1,0,.13653333,7.9636874,.13556524,.90871745,6.4342647,.95704782,1.9464601,2.1475899
1,1,.3741681,8.7025633,.05815693,.98437893,7.6838174,.93142009,1.8429116,2.3299501
1,2,.57546943,9.1969547,.12173815,1,9.0279627,.94067639,1.8571794,1.8427086
1,3,.78882974,9.8151875,.14101802,1,9.9446173,.86041617,1.5791447,1.3443736
1,4,.87852132,10.374043,.1418635,.99595612,10.597221,.84012067,1.7051378,1.7167264
1,5,.94511169,11.671537,.19802827,1,11.586309,.85898048,1.607428,1.4426775
1,6,.97458386,11.930444,.2676686,1,11.954352,.84942222,1.6293297,1.2048805
1,7,.98543298,13.09372,.55981308,1,13.063533,.81715202,1.5092254,1.4238182
2,0,.10351886,8.4308233,.12361464,.97274899,6.4228697,.95026654,2.1328983,2.6028261
2,1,.44465822,8.9677563,.10487863,.97225285,8.40693,.9202652,2.0751696,2.1105795
2,2,.62126088,10.036886,.10102365,1,9.3734131,.93582737,1.6994097,2.0555942
2,3,.77955562,10.585027,.14205834,1,10.414125,.91839594,1.6821144,1.7354332
2,4,.91283149,11.259796,.20317629,1,11.511141,.86915511,1.5892397,1.2600331
2,5,.95331228,12.079243,.36569872,1,12.130737,.92737865,1.4988418,1.2616825
2,6,.94816905,13.23024,.36321077,1,12.860963,.85869968,1.3365171,1.2196256
2,7,1,14.538043,.57834059,1,14.271523,.73065358,1.5958716,1.3501894
3,0,.16268262,10.027785,.21587896,.94978756,6.927012,.91462344,2.3129156,2.6621175
3,1,.40534419,9.6913385,.16507702,.97335815,8.5044508,.93175906,2.322247,2.6489942
3,2,.59633583,10.192801,.10416699,1,9.9270601,.9416129,1.9335124,1.9982963
3,3,.79220927,10.981021,.1645178,.99889565,10.971189,.92405808,1.8295575,1.6194457
3,4,.87552655,11.760586,.22270912,1,11.906124,.91631538,1.9323453,1.6256813
3,5,.95415062,13.081395,.32854265,1,12.906752,.9463042,1.3880645,1.2015309
3,6,.98936045,13.734628,.44036043,1,13.596807,.88305247,1.6828399,1.2628444
3,7,.9981662,15.066092,.65977865,1,14.647226,.84820843,1.3130646,1.0777431
4,0,.11481229,9.2940598,.38519388,.98171413,7.3677144,.9491719,2.7751594,2.6693702
4,1,.34480324,10.292602,.30811906,.97078258,9.0120258,.95979518,1.9057981,2.6453662
4,2,.52690852,9.9370794,.26816061,.99190706,10.030278,.94220304,2.3141711,2.3587189
4,3,.67405158,11.171429,.23309815,1,11.000958,.93860018,1.9414288,2.0607202
4,4,.78793579,12.02576,.38402665,1,11.848673,.90969604,1.642225,1.5910517
4,5,.92984712,11.960164,.31139237,1,12.481583,.93521547,1.8170077,1.4191264
4,6,.97575563,13.675801,.34650442,1,13.666015,.91097015,1.1479044,1.0389363
4,7,.95477992,15.043633,.55398601,1,14.629202,.91982096,1.333534,1.2610743
5,0,.11609568,9.5621881,.53001416,.93658388,7.4342661,.9898113,2.0696828,2.5485706
5,1,.40942416,10.388725,.20615745,.98922598,9.2232113,.93754309,1.6599176,2.4643981
5,2,.46263635,10.703916,.43957368,.99486005,10.327141,.97113717,2.0097859,2.058614
5,3,.66496593,11.286775,.45912364,1,10.865054,.93216366,2.0595465,2.3992789
5,4,.75592726,11.622483,.45441109,1,11.761904,.97431797,2.0573883,1.4850776
5,5,.87076575,12.795263,.43096593,1,12.436989,.93145889,1.4064091,1.5831743
5,6,.86040241,13.570073,.55761296,1,12.984762,.98336172,1.4830878,1.9598322
5,7,.82630354,15.741887,.71134102,1,14.249596,.83103448,.97747189,1.5646319
